rid,start,finish,answer_duration,ip,client_type,Q1,Q1_分中心编码,Q1_分中心,Q4__1,Q5__1,Q6,Q7,Q13,Q8__1,Q8__2,Q8__3,Q8__4,Q8__5,Q8__6,Q4__1__open2,Q5__1__open2,Q8__6__open,Q9__1,Q9__2,Q10__1,Q10__2,Q11__1,Q11__2,Q12__1,Q12__2,Q4__1_题项,Q5__1_题项,Q8__1_题项,Q8__2_题项,Q8__3_题项,Q8__4_题项,Q8__5_题项,Q8__6_题项,Q6_编码本选项文本,Q7_编码本选项文本,Q13_编码本选项文本,Q9__1_编码本选项文本,Q10__1_编码本选项文本,Q11__1_编码本选项文本,Q12__1_编码本选项文本
1533575,2026-04-03 15:38:13,2026-04-03 15:38:58,45秒,61.135.212.184,pc,2,2,北京,5,5,3,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,1,1,1,1,1,1,1,1,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,一般,一般,一般,表扬,表扬,表扬,表扬
1533579,2026-04-03 15:43:17,2026-04-03 15:48:11,4分53秒,59.49.25.62,pc,20,20,太原,5,5,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,产品比常规日语课程更符合客户需求,有更多针对高考提分的教学方案,更符合要考试学生的节奏,针对听口的练习比较匮乏,暂无,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533580,2026-04-03 15:43:25,2026-04-03 15:47:08,3分42秒,124.117.222.66,pc,25,25,乌鲁木齐,4,4,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,/,/,/,/,/,/,/,/,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533581,2026-04-03 15:43:49,2026-04-03 16:33:01,49分11秒,59.36.210.130,pc,11,11,深圳,5,5,1,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,重读服务有吸引力，转日语一般是语言比较弱的学生,一、高考日语复习、高考日语刷题班，变成1对1课包？#1.人数少、上课时间高三的学生会比较难凑#2  艺术生，集训半年之后，担心内容忘光了，无法衔接复习刷题班#二、通识阶段 有对应的高考方向的专项练习给到学生（需要标准化，不能不同老师不同安排）,留学、考级学生产品很适合,增加模考环节（标准化，全国一起举行-类似总部的德语德福模考）,暂无,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,非常及时,,,,
1533583,2026-04-03 15:45:57,2026-04-03 15:49:35,3分37秒,61.135.212.183,pc,2,2,北京,4,4,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,更新及时,暂无,暂无,暂无,挺好,暂无,暂无,用处不大,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533584,2026-04-03 15:46:01,2026-04-03 15:49:02,3分1秒,61.135.212.184,pc,2,2,北京,5,4,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,学习质量,很好,无,很好,无,可以,无,可以,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,比较及时,,,,
1533585,2026-04-03 15:46:56,2026-04-03 16:53:38,1时6分41秒,124.114.140.102,pc,10,10,西安,5,5,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,教研内容标准化，解决了教室培训和授课内容产出的难度,定期开全国的教学会议，不断迭代，分公司互相学习,教研内容标准化，解决了教室培训和授课内容产出的难度,暂无,无,增加一些授课中的互动性的游戏帮助学习,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533586,2026-04-03 15:47:23,2026-04-08 15:18:00,4天23时30分36秒,27.223.21.90,pc,17,17,青岛,4,4,1,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,大部分学员觉得课时太少，价格太高,报名的觉得上课还可以，没有报名的学员直接望而却步,,能买大单,价格有点高,这样更有系统性,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,非常及时,,,,
1533587,2026-04-03 15:47:40,2026-04-03 15:53:24,5分44秒,1.83.222.35,pc,10,10,西安,5,5,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,很好,没啥建议,体系完整,没啥建议,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533588,2026-04-03 15:47:50,2026-04-03 15:50:15,2分24秒,27.223.21.90,pc,17,17,青岛,5,5,2,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,无,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
1533590,2026-04-03 15:48:48,2026-04-03 15:51:42,2分54秒,10.2.164.153,pc,43,43,总部在线,4,4,2,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,优化迭代、组装及搭配挺好的,暂无,优化迭代、组装及搭配都挺好的,无,挺好的,无,挺好的,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,非常及时,,,,
1533591,2026-04-03 15:49:05,2026-04-03 15:52:47,3分41秒,218.94.55.78,pc,5,5,南京,5,4,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,产品还是非常完善的,多一些线下的一对一,整体给学生的感觉还是不错的,多一些个性化线下一对一搭配,很灵活，课程设置也很合理,多一些时间段的选择,性价比很高,如果能有一些互动就更好了,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,非常及时,,,,
1533597,2026-04-03 15:53:28,2026-04-03 15:56:56,3分27秒,58.255.39.18,pc,42,42,东莞,5,5,1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,无,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,非常及时,,,,
1533601,2026-04-03 15:54:37,2026-04-03 16:13:03,18分26秒,116.176.64.11,pad,36,36,兰州,5,5,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,非常满意,认可度很高,,期待,目前兰州仅开设vip,期待,兰州暂未开设,针对青少学员的课程很满意,暂无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533602,2026-04-03 15:54:55,2026-04-03 15:58:25,3分29秒,42.94.215.113,iPhone,36,36,兰州,4,4,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,学生比较满意,比较满意 ,,没有 暂时没有开启志高,没有 暂时没有开启志高,没有 暂时没有开启致远,没有 暂时没有开启,符合青少年龄段学生的时长 教材 ,无,暂无,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533603,2026-04-03 15:55:02,2026-04-03 16:01:00,5分57秒,111.59.8.190,pc,26,26,南宁,5,4,1,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,符合,认可度可以，但是价格觉得高,,无,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,比较及时,,,,
1533604,2026-04-03 15:55:47,2026-04-14 11:41:41,10天19时45分54秒,42.94.212.37,pc,36,36,兰州,5,5,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,无,非常完善,,无,无,无,无,无,增加课程的趣味性,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533606,2026-04-03 15:56:34,2026-04-03 15:58:32,1分57秒,220.168.106.51,iPhone,19,19,长沙,5,5,1,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,满足客户需求,可叠加N2,满足用户需求,可叠加专项,满足用户需求,无,满足用户需求,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,比较及时,,,,
1533609,2026-04-03 16:01:04,2026-04-03 16:23:31,22分26秒,111.0.122.21,pc,15,15,杭州,5,5,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,学习规划可视化，推荐介绍客户一目了然,志高gk日语omo重读协议，可否设定在首考分数。一般高考生是不会再重读的，设定到高考结束这个不太合理。,学习规划可视化，搭配了多种套餐价格形式供学员选择,暂无,多种选择供咨询推荐,暂无，咨询推荐下来，还是选择单阶段的比较多,选择挺多，这个产品要看客户需求，有做推荐，但是反响不多,目前还没卖出这个产品，还没有有效反馈,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533613,2026-04-03 16:06:35,2026-04-03 16:18:01,11分26秒,183.66.208.18,pc,3,3,重庆,5,5,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,基础加复习，符合学生学情,认可度高，特别是重读,,合理安排课时,高考日语的资料不够，多搞点,课程结构安排合理,暂无,贴合低龄需求,低龄孩子能自主看懂，老师批改也省力。,产品符合学情,产品结构简化,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,非常及时,,,,
1533614,2026-04-03 16:07:00,2026-04-03 16:08:40,1分39秒,218.28.253.218,pc,9,9,郑州,5,5,2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,很好,认可,无,挺好,暂无,挺好,暂无,挺好,暂无,挺好,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,非常及时,比较及时,,,,
1533615,2026-04-03 16:07:56,2026-04-03 16:12:56,5分,58.214.184.188,pc,28,28,无锡,5,5,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,无,无,无,考冲班是否可以加入协议重读,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533618,2026-04-03 16:12:19,2026-04-03 16:19:06,6分46秒,180.165.3.55,pc,1,1,上海,5,4,2,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,课件PPT很详细，便于查找信息,标化产品的迭代或者更新，可以及时发布分享培训，指出亮点和新增加的卖点，便于前端新的业务人员及时同步，更新话术,产品罗列清晰，价格优惠改版后无歧义,标化产品和价格可以更多样些#,比线上的课程精简,定时可以收集一些家长建议，比如课程中或者后设置调查问卷，看看家长们的反馈和建议,没有接触过，不好发言,没有接触过，不好发言,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,非常及时,,,,
1533620,2026-04-03 16:20:38,2026-04-03 16:22:12,1分33秒,112.255.200.243,Android,17,17,青岛,5,5,1,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,无,无,无,无,无,无,无,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,比较及时,,,,
1533621,2026-04-03 16:21:00,2026-04-03 16:31:31,10分30秒,27.185.2.203,pc,18,18,石家庄,5,5,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,目前暂无,产品符合本土化思维，提供了多种学生需求支持,继续跟紧当地政策,产品设计完全合理,可以更符合当地学生胃口，有更加有趣的课程内容呈现,保证学生爱学趣学,暂无建议,学生对于授课内容都很感兴趣,暂无建议,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,非常及时,非常及时,,,,
1533624,2026-04-03 16:33:21,2026-04-03 16:35:32,2分11秒,112.49.199.26,pc,30,30,福州,5,5,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,适合学生需求,家长抱怨价格高,,适合学生,无,适合学生,无,适合学生,无,适合学生,无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,非常充分,比较及时,非常及时,,,,
1533625,2026-04-03 16:33:33,2026-04-03 17:21:19,47分45秒,112.49.199.26,pc,30,30,福州,4,4,2,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,如果可以高考产品和考级日语应该再进一步区分，目前还是有很多的高考的孩子在上初级N5班,还挺满意的，线上授课老师和学管老师都很负责任,,针对高考给出相应教学,暂无,适合冲考季学生,暂无,针对6-9岁青年非常友好,暂无,确实符合和适配学习日语的人群,暂无,产品适配度：产品是否符合目标日语学员的学习需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,教学内容,教研资料,运营支持,组装搭配,产品迭代,其他（请注明）,比较充分,比较及时,比较及时,,,,
