rid,start,finish,answer_duration,ip,client_type,Q1,Q1_分中心编码,Q1_分中心,Q13__1,Q13__2,Q13__3,Q13__4,Q13__5,Q13__6,Q13__7,Q13__8,Q13__9,Q13__10,Q13__11,Q2__1,Q5__1,Q6__1,Q7__1,Q8__1,Q9__1,Q10__1,Q11__1,Q12__1,Q13__1__open2,Q13__2__open2,Q13__3__open2,Q13__4__open2,Q13__5__open2,Q13__6__open2,Q13__7__open2,Q13__8__open2,Q13__9__open2,Q13__10__open2,Q13__11__open2,Q2__1__open2,Q5__1__open2,Q6__1__open2,Q7__1__open2,Q8__1__open2,Q9__1__open2,Q10__1__open2,Q11__1__open2,Q12__1__open2,Q16__1,Q19__1,Q13__1_题项,Q13__2_题项,Q13__3_题项,Q13__4_题项,Q13__5_题项,Q13__6_题项,Q13__7_题项,Q13__8_题项,Q13__9_题项,Q13__10_题项,Q13__11_题项,Q2__1_题项,Q5__1_题项,Q6__1_题项,Q7__1_题项,Q8__1_题项,Q9__1_题项,Q10__1_题项,Q11__1_题项,Q12__1_题项,Q16__1_题项,Q19__1_题项
1533565,2026-04-03 15:30:12,2026-04-03 15:44:45,14分33秒,112.49.199.26,pc,30,30,福州,4,1,4,4,4,4,4,4,4,4,4.0,4.0,4,4,4,4,4,4,4,4,挺好的,跟境外的服务有冲突 学生课没上完要退费,挺好的,挺好的,挺好的,挺好的,挺好的,挺好的,挺好的,挺好的,挺好的,,,,,,,,,,无,无,1、EJU总部线上课程,2、EJU总部中期plus,3、学部直达计划,4、前途塾素养课程（梦/日出/向日葵）,5、前途塾境外课程,6、EJU香港考团,7、大学院日文研究生精英计划,8、大学院日文直申,9、SGU英文授课本科留学服务,10、SGU英文授课大学院留学服务,11、前途塾-大学院高端学术课程,产品适配度：产品是否符合目标学生群体的升学或未来就业需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,产品培训：是否提供充分的培训，使销售顾问能清晰了解产品特点、优势、风险点及定位？,推广支持力度：是否有充分的市场材料、宣传方案，帮助销售顾问更好推广？,产品背景核验：在产品宣传过程中，是否对宣传资料内容进行核验，以确保其真实，准确？,响应及时性：当分公司反馈产品问题时，分管产品服务团队是否能够快速响应，及时介入协助分公司解决问题？,问题解决能力：当产品出现问题或客户投诉时，分管产品团队是否能迅速给出有效解决方案，且问题得到有效的解决？,风险预警：在发现潜在服务风险时，是否能及时提醒分公司并给出避险预案？,产品迭代更新：是否就服务问题，与分公司进行充分交流，总结并做产品优化迭代？,期待您的反馈,期待您的反馈
1533567,2026-04-03 15:30:45,2026-04-08 16:57:45,5天1时26分59秒,221.226.188.206,pc,5,5,南京,4,3,4,4,3,4,4,4,4,4,4.0,4.0,4,4,4,4,4,4,4,4,班型多，选择性多,服务挺好就是容易遗漏学生。。。,可以给不想去语言学校的学生做保底,对艺术生考学帮助比较大,上课考勤不是很严格，老师跟进反馈也一般，学生家长容易产生投诉,方便学生考试，挺好,老师相对都比较专业，但希望对长线的学生能提高跟进频次,老师都挺好，就是辅导上力度感觉还不太够,挺好的，跟进和申请都比较好,挺好的，就是希望再申请方便能和前期多同步,能够提供专业支持,能满足,满足需求,培训比较专业,资料很齐全,真实准确,协助解决比较及时,积极应对,,,暂无,暂无,1、EJU总部线上课程,2、EJU总部中期plus,3、学部直达计划,4、前途塾素养课程（梦/日出/向日葵）,5、前途塾境外课程,6、EJU香港考团,7、大学院日文研究生精英计划,8、大学院日文直申,9、SGU英文授课本科留学服务,10、SGU英文授课大学院留学服务,11、前途塾-大学院高端学术课程,产品适配度：产品是否符合目标学生群体的升学或未来就业需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,产品培训：是否提供充分的培训，使销售顾问能清晰了解产品特点、优势、风险点及定位？,推广支持力度：是否有充分的市场材料、宣传方案，帮助销售顾问更好推广？,产品背景核验：在产品宣传过程中，是否对宣传资料内容进行核验，以确保其真实，准确？,响应及时性：当分公司反馈产品问题时，分管产品服务团队是否能够快速响应，及时介入协助分公司解决问题？,问题解决能力：当产品出现问题或客户投诉时，分管产品团队是否能迅速给出有效解决方案，且问题得到有效的解决？,风险预警：在发现潜在服务风险时，是否能及时提醒分公司并给出避险预案？,产品迭代更新：是否就服务问题，与分公司进行充分交流，总结并做产品优化迭代？,期待您的反馈,期待您的反馈
1533568,2026-04-03 15:30:55,2026-04-03 15:34:53,3分57秒,58.218.49.90,pc,33,33,徐州,4,4,3,5,5,5,4,5,4,4,5.0,5.0,5,5,4,5,5,5,4,4,无,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,无,无,1、EJU总部线上课程,2、EJU总部中期plus,3、学部直达计划,4、前途塾素养课程（梦/日出/向日葵）,5、前途塾境外课程,6、EJU香港考团,7、大学院日文研究生精英计划,8、大学院日文直申,9、SGU英文授课本科留学服务,10、SGU英文授课大学院留学服务,11、前途塾-大学院高端学术课程,产品适配度：产品是否符合目标学生群体的升学或未来就业需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,产品培训：是否提供充分的培训，使销售顾问能清晰了解产品特点、优势、风险点及定位？,推广支持力度：是否有充分的市场材料、宣传方案，帮助销售顾问更好推广？,产品背景核验：在产品宣传过程中，是否对宣传资料内容进行核验，以确保其真实，准确？,响应及时性：当分公司反馈产品问题时，分管产品服务团队是否能够快速响应，及时介入协助分公司解决问题？,问题解决能力：当产品出现问题或客户投诉时，分管产品团队是否能迅速给出有效解决方案，且问题得到有效的解决？,风险预警：在发现潜在服务风险时，是否能及时提醒分公司并给出避险预案？,产品迭代更新：是否就服务问题，与分公司进行充分交流，总结并做产品优化迭代？,期待您的反馈,期待您的反馈
1533569,2026-04-03 15:31:45,2026-04-03 15:35:15,3分29秒,10.2.151.111,pc,33,33,徐州,4,5,3,4,4,4,4,3,3,3,4.0,4.0,4,4,3,4,3,3,3,3,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,1、EJU总部线上课程,2、EJU总部中期plus,3、学部直达计划,4、前途塾素养课程（梦/日出/向日葵）,5、前途塾境外课程,6、EJU香港考团,7、大学院日文研究生精英计划,8、大学院日文直申,9、SGU英文授课本科留学服务,10、SGU英文授课大学院留学服务,11、前途塾-大学院高端学术课程,产品适配度：产品是否符合目标学生群体的升学或未来就业需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,产品培训：是否提供充分的培训，使销售顾问能清晰了解产品特点、优势、风险点及定位？,推广支持力度：是否有充分的市场材料、宣传方案，帮助销售顾问更好推广？,产品背景核验：在产品宣传过程中，是否对宣传资料内容进行核验，以确保其真实，准确？,响应及时性：当分公司反馈产品问题时，分管产品服务团队是否能够快速响应，及时介入协助分公司解决问题？,问题解决能力：当产品出现问题或客户投诉时，分管产品团队是否能迅速给出有效解决方案，且问题得到有效的解决？,风险预警：在发现潜在服务风险时，是否能及时提醒分公司并给出避险预案？,产品迭代更新：是否就服务问题，与分公司进行充分交流，总结并做产品优化迭代？,期待您的反馈,期待您的反馈
1533570,2026-04-03 15:32:01,2026-04-03 15:39:23,7分22秒,221.226.188.206,iPhone,5,5,南京,4,3,4,4,5,4,5,5,5,5,3.0,4.0,4,4,4,4,4,4,4,4,目前没有学生,前期规划和私塾规划会有冲突，前期规划不一定适用后期学生情况,没有,没有学生,挺好,没有,挺好,挺好,挺好,挺好,有时会出现跟进不及时情况。,挺好,,,,,,,,,是否境内就可以签一些有条件保录取项目,融合日英申请,1、EJU总部线上课程,2、EJU总部中期plus,3、学部直达计划,4、前途塾素养课程（梦/日出/向日葵）,5、前途塾境外课程,6、EJU香港考团,7、大学院日文研究生精英计划,8、大学院日文直申,9、SGU英文授课本科留学服务,10、SGU英文授课大学院留学服务,11、前途塾-大学院高端学术课程,产品适配度：产品是否符合目标学生群体的升学或未来就业需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,产品培训：是否提供充分的培训，使销售顾问能清晰了解产品特点、优势、风险点及定位？,推广支持力度：是否有充分的市场材料、宣传方案，帮助销售顾问更好推广？,产品背景核验：在产品宣传过程中，是否对宣传资料内容进行核验，以确保其真实，准确？,响应及时性：当分公司反馈产品问题时，分管产品服务团队是否能够快速响应，及时介入协助分公司解决问题？,问题解决能力：当产品出现问题或客户投诉时，分管产品团队是否能迅速给出有效解决方案，且问题得到有效的解决？,风险预警：在发现潜在服务风险时，是否能及时提醒分公司并给出避险预案？,产品迭代更新：是否就服务问题，与分公司进行充分交流，总结并做产品优化迭代？,期待您的反馈,期待您的反馈
1533571,2026-04-03 15:32:06,2026-04-03 17:57:47,2时25分41秒,42.94.215.113,pc,36,36,兰州,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,非常满意，团队及客户反馈良好,非常满意，团队及客户反馈良好,非常满意，团队及客户反馈良好,非常满意，团队及客户反馈良好,非常满意，团队及客户反馈良好,非常满意，团队及客户反馈良好,非常满意，团队及客户反馈良好,非常满意，团队及客户反馈良好,非常满意，团队及客户反馈良好,非常满意，团队及客户反馈良好,非常满意，团队及客户反馈良好,符合,认可度高,是,是,是,是,是,是,是,暂无,暂无,1、EJU总部线上课程,2、EJU总部中期plus,3、学部直达计划,4、前途塾素养课程（梦/日出/向日葵）,5、前途塾境外课程,6、EJU香港考团,7、大学院日文研究生精英计划,8、大学院日文直申,9、SGU英文授课本科留学服务,10、SGU英文授课大学院留学服务,11、前途塾-大学院高端学术课程,产品适配度：产品是否符合目标学生群体的升学或未来就业需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,产品培训：是否提供充分的培训，使销售顾问能清晰了解产品特点、优势、风险点及定位？,推广支持力度：是否有充分的市场材料、宣传方案，帮助销售顾问更好推广？,产品背景核验：在产品宣传过程中，是否对宣传资料内容进行核验，以确保其真实，准确？,响应及时性：当分公司反馈产品问题时，分管产品服务团队是否能够快速响应，及时介入协助分公司解决问题？,问题解决能力：当产品出现问题或客户投诉时，分管产品团队是否能迅速给出有效解决方案，且问题得到有效的解决？,风险预警：在发现潜在服务风险时，是否能及时提醒分公司并给出避险预案？,产品迭代更新：是否就服务问题，与分公司进行充分交流，总结并做产品优化迭代？,期待您的反馈,期待您的反馈
1533572,2026-04-03 15:34:36,2026-04-03 15:37:33,2分56秒,218.28.159.54,pc,35,35,洛阳,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,培训到位,培训到位,培训到位,培训到位,培训到位,培训到位,培训到位,培训到位,培训到位,培训到位,培训到位,符合,认可,培训到位,更多单页，物料,正确,基本可以,基本可以,基本可以,暂时没遇到,无,无,1、EJU总部线上课程,2、EJU总部中期plus,3、学部直达计划,4、前途塾素养课程（梦/日出/向日葵）,5、前途塾境外课程,6、EJU香港考团,7、大学院日文研究生精英计划,8、大学院日文直申,9、SGU英文授课本科留学服务,10、SGU英文授课大学院留学服务,11、前途塾-大学院高端学术课程,产品适配度：产品是否符合目标学生群体的升学或未来就业需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,产品培训：是否提供充分的培训，使销售顾问能清晰了解产品特点、优势、风险点及定位？,推广支持力度：是否有充分的市场材料、宣传方案，帮助销售顾问更好推广？,产品背景核验：在产品宣传过程中，是否对宣传资料内容进行核验，以确保其真实，准确？,响应及时性：当分公司反馈产品问题时，分管产品服务团队是否能够快速响应，及时介入协助分公司解决问题？,问题解决能力：当产品出现问题或客户投诉时，分管产品团队是否能迅速给出有效解决方案，且问题得到有效的解决？,风险预警：在发现潜在服务风险时，是否能及时提醒分公司并给出避险预案？,产品迭代更新：是否就服务问题，与分公司进行充分交流，总结并做产品优化迭代？,期待您的反馈,期待您的反馈
1533574,2026-04-03 15:36:30,2026-04-04 11:33:53,19时57分22秒,124.72.60.142,pc,13,13,厦门,4,5,5,5,5,5,5,5,5,5,3.0,4.0,4,3,4,5,4,4,5,5,文综部分挺好的，数学会有学生反馈听不懂,挺好,挺好,挺好,挺好,挺好,挺好,挺好,挺好,挺好,对接的老师态度不好，无法配合前期衔接客户需求，激发客户矛盾,在日就业需求群体越来越多，就业指导若有产品可以一起搭配 会很期待哦,挺好,期待新财年更多的日本培训,较少,是,,,,,真心恳求硕士预科+直申合同打通！！期待上线，有很多客户群体需要灵活的制服去提供申请服务，能带上sgu最佳！,真心期待日本高中申请服务可配备更多的一站式服务，低龄孩子能签约的金额其实更高，需求也更实际，例如：高中考试陪考服务、考前冲刺服务、境外高中课程衔接等,1、EJU总部线上课程,2、EJU总部中期plus,3、学部直达计划,4、前途塾素养课程（梦/日出/向日葵）,5、前途塾境外课程,6、EJU香港考团,7、大学院日文研究生精英计划,8、大学院日文直申,9、SGU英文授课本科留学服务,10、SGU英文授课大学院留学服务,11、前途塾-大学院高端学术课程,产品适配度：产品是否符合目标学生群体的升学或未来就业需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,产品培训：是否提供充分的培训，使销售顾问能清晰了解产品特点、优势、风险点及定位？,推广支持力度：是否有充分的市场材料、宣传方案，帮助销售顾问更好推广？,产品背景核验：在产品宣传过程中，是否对宣传资料内容进行核验，以确保其真实，准确？,响应及时性：当分公司反馈产品问题时，分管产品服务团队是否能够快速响应，及时介入协助分公司解决问题？,问题解决能力：当产品出现问题或客户投诉时，分管产品团队是否能迅速给出有效解决方案，且问题得到有效的解决？,风险预警：在发现潜在服务风险时，是否能及时提醒分公司并给出避险预案？,产品迭代更新：是否就服务问题，与分公司进行充分交流，总结并做产品优化迭代？,期待您的反馈,期待您的反馈
1533577,2026-04-03 15:39:44,2026-04-03 15:47:44,8分,27.223.21.90,pc,17,17,青岛,5,3,4,5,4,3,5,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,课程设置方柏霓，开课频次多,学生上了反馈觉得没用,没报过，感觉鸡肋,服务特别好，学生和家长很信赖老师,服务比以前有所提升,这个价格卖不动,老师专业，反馈及时,填补了项目空白,服务很好，学生反馈老师专业细心,服务很好,专业全面,,,,,真实过度了，不如别的机构会吹牛,,,,,无,无,1、EJU总部线上课程,2、EJU总部中期plus,3、学部直达计划,4、前途塾素养课程（梦/日出/向日葵）,5、前途塾境外课程,6、EJU香港考团,7、大学院日文研究生精英计划,8、大学院日文直申,9、SGU英文授课本科留学服务,10、SGU英文授课大学院留学服务,11、前途塾-大学院高端学术课程,产品适配度：产品是否符合目标学生群体的升学或未来就业需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,产品培训：是否提供充分的培训，使销售顾问能清晰了解产品特点、优势、风险点及定位？,推广支持力度：是否有充分的市场材料、宣传方案，帮助销售顾问更好推广？,产品背景核验：在产品宣传过程中，是否对宣传资料内容进行核验，以确保其真实，准确？,响应及时性：当分公司反馈产品问题时，分管产品服务团队是否能够快速响应，及时介入协助分公司解决问题？,问题解决能力：当产品出现问题或客户投诉时，分管产品团队是否能迅速给出有效解决方案，且问题得到有效的解决？,风险预警：在发现潜在服务风险时，是否能及时提醒分公司并给出避险预案？,产品迭代更新：是否就服务问题，与分公司进行充分交流，总结并做产品优化迭代？,期待您的反馈,期待您的反馈
1533578,2026-04-03 15:42:46,2026-04-03 15:46:12,3分25秒,218.27.37.98,pc,29,29,长春,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5,5,5,5,5,5,5,服务流程丝滑,服务流程丝滑,服务流程丝滑,服务流程丝滑,服务流程丝滑,服务流程丝滑,销售支持老师非常专业！后续跟进响应速度快,销售支持老师非常专业！后续跟进响应速度快,服务流程丝滑,服务流程丝滑,销售支持老师非常专业！后续跟进响应速度快,是,愿意购买,是的 有评估环节,是的,是的,是的 非常专业,是的 效率极高,是的 ,是的,暂时没有,暂时没有,1、EJU总部线上课程,2、EJU总部中期plus,3、学部直达计划,4、前途塾素养课程（梦/日出/向日葵）,5、前途塾境外课程,6、EJU香港考团,7、大学院日文研究生精英计划,8、大学院日文直申,9、SGU英文授课本科留学服务,10、SGU英文授课大学院留学服务,11、前途塾-大学院高端学术课程,产品适配度：产品是否符合目标学生群体的升学或未来就业需求？,市场认可度：您服务的学生/家长对目前在售的产品认可度如何？,产品培训：是否提供充分的培训，使销售顾问能清晰了解产品特点、优势、风险点及定位？,推广支持力度：是否有充分的市场材料、宣传方案，帮助销售顾问更好推广？,产品背景核验：在产品宣传过程中，是否对宣传资料内容进行核验，以确保其真实，准确？,响应及时性：当分公司反馈产品问题时，分管产品服务团队是否能够快速响应，及时介入协助分公司解决问题？,问题解决能力：当产品出现问题或客户投诉时，分管产品团队是否能迅速给出有效解决方案，且问题得到有效的解决？,风险预警：在发现潜在服务风险时，是否能及时提醒分公司并给出避险预案？,产品迭代更新：是否就服务问题，与分公司进行充分交流，总结并做产品优化迭代？,期待您的反馈,期待您的反馈
