bin,bin_range,n_samples,raw_pred_mean,raw_actual_mean,raw_abs_error,cal_pred_mean,cal_actual_mean,cal_abs_error
1,"[0.0, 0.1)",3262,0.0422,0.1251,0.0829,,,
2,"[0.1, 0.2)",1566,0.1464,0.189,0.0426,0.1553,0.1412,0.0141
3,"[0.2, 0.3)",1164,0.2483,0.2766,0.0284,0.245,0.2769,0.0319
4,"[0.3, 0.4)",965,0.3473,0.315,0.0323,0.3478,0.3573,0.0094
5,"[0.4, 0.5)",858,0.4499,0.366,0.084,0.4511,0.4151,0.0359
6,"[0.5, 0.6)",737,0.5512,0.3596,0.1916,0.5507,0.4845,0.0662
7,"[0.6, 0.7)",819,0.6505,0.4713,0.1792,0.6521,0.6419,0.0102
8,"[0.7, 0.8)",820,0.7505,0.489,0.2615,0.712,0.7972,0.0851
9,"[0.8, 0.9)",998,0.8504,0.6102,0.2402,,,
10,"[0.9, 1.0)",1155,0.952,0.7446,0.2074,,,
